r2,rmse,mae,hit_rate,ic,rank_ic,trade_date,count
-2924.3782927451825,0.5259542921752901,0.36281690723450916,0.5353535353535354,0.27390980681189253,0.3937308872933654,2025-11-27,396
-3358.042856385704,0.6294046520585397,0.4159462421953741,0.3756345177664975,-0.3118199427801526,-0.3288568060966679,2025-11-28,394
-5343.966662543973,0.7280699660579131,0.4849649033612029,0.5304568527918782,0.04440826166726207,0.0915603802912859,2025-12-01,394
-8623.938348970409,0.7712626404587644,0.5095359266135683,0.5240506329113924,0.02801695068417411,0.08354255138936756,2025-12-02,395
-6327.562651667728,0.5741081863747607,0.38686806720830813,0.5443037974683544,0.021271802804677425,0.04389665465293559,2025-12-03,395
-2653.0279970921706,0.4781718824999615,0.36847617065527744,0.4481012658227848,-0.1183072551767345,-0.1427028753122694,2025-12-04,395
-1990.1000298984568,0.4800522223289206,0.3675080329341923,0.4506329113924051,-0.17430900184666528,-0.24944964650034368,2025-12-05,395
-2053.9324987330715,0.47066799956203026,0.35485636038896573,0.46835443037974683,-0.053979452180291224,-0.07781782354808121,2025-12-08,395
-2094.529828193444,0.4754084274998268,0.3581102898285699,0.5178571428571429,0.16764912300898605,0.219812385624678,2025-12-09,392
-2735.7838945443486,0.47093714186324126,0.3548203463802574,0.455012853470437,0.008503746585859066,-0.09833383958950441,2025-12-10,389
-3082.1468455987624,0.47686361741436845,0.3579712799907395,0.4987146529562982,-0.006164015303232216,0.08210340265305416,2025-12-11,389
-1339.4433733011533,0.48216907232716993,0.3660240976858171,0.38402061855670105,-0.1709288011465802,-0.22384370640138365,2025-12-12,388
-3422.8624100764537,0.47585428579335776,0.35943694957666206,0.5128865979381443,0.04961856699410125,0.06695350460200054,2025-12-15,388
-3573.5032722802925,0.48601520147840466,0.366829826127779,0.4935400516795866,-0.015739063732048225,0.018681089801321653,2025-12-16,387
-2624.2357053898386,0.48537180351349857,0.36986898497809273,0.4713541666666667,-0.13619601320151734,-0.17244604286053372,2025-12-17,384
-2240.3388501139116,0.4781771900410422,0.3611331496862227,0.5833333333333334,0.021179697944370024,0.15059255366043878,2025-12-18,384
-2049.7581732478116,0.47590126058435794,0.35582957399492404,0.5130890052356021,0.037020155101220954,-0.002218519248461132,2025-12-19,382
-1402.6667573255174,0.49087893241182556,0.35494657413161146,0.46981627296587924,-0.0575728602564689,-0.13616405899111053,2025-12-22,381
-914.417077797877,0.4846192863384125,0.35108536259410494,0.5303430079155673,0.05829031577349388,0.12034726217478611,2025-12-23,379
-1252.6941269840677,0.49243187532860405,0.3667337229246815,0.43535620052770446,0.02274187502481578,-0.15514115103061082,2025-12-24,379
-1356.1254056737016,0.48707914959221044,0.36363786111945384,0.49340369393139843,-0.03874413525400222,-0.09922166894809584,2025-12-25,379
-1524.0467129730227,0.4878547229030914,0.35962806539935305,0.49473684210526314,-0.0007153621782122454,0.09103941163027444,2025-12-26,380
-2476.7224216855407,0.48817005737216873,0.3651892862239041,0.5171503957783641,0.08199465128820983,0.09606139358951468,2025-12-29,379
-2106.1293246808495,0.6620361413513691,0.4290307667295736,0.45646437994722955,0.05364504359769746,0.0011107363836151505,2025-12-30,379
-3784.730392303439,0.6432713965040648,0.41522148534664716,0.40897097625329815,-0.04336995711343228,-0.07166509060690424,2025-12-31,379
-4602.505885406611,0.7440540669137601,0.47639763960416787,0.37270341207349084,-0.1332241641108097,-0.05500441543732356,2026-01-05,381
-6063.026695422222,0.9763447865920187,0.6597588721161068,0.44881889763779526,-0.056529467974088345,0.00630441999379452,2026-01-06,381
-2626.030118986897,0.6852483803657957,0.42565253168333306,0.5526315789473685,0.031106654250800548,0.11230614295696027,2026-01-07,380
-4037.639901196349,0.9258138041036098,0.6072789772717769,0.5,-0.08940677560578084,-0.026207208753814815,2026-01-08,380
-3538.6628340592233,0.9535678341703939,0.6343454025036882,0.5657894736842105,0.0596591653969177,0.009875487547114519,2026-01-09,380
-3042.704364210348,0.8498163652719458,0.546899779811888,0.6578947368421053,0.11986344881155715,0.1321023873543373,2026-01-12,380
-3357.7215629348275,0.7629904825345345,0.4975282957648963,0.3403693931398417,-0.0960156632086473,-0.24228513235595583,2026-01-13,379
-4914.836421165393,0.9372829165913522,0.6510913959484301,0.4021164021164021,-0.09036603618448866,-0.2511111044456509,2026-01-14,378
-2200.343237822346,0.9463944398782637,0.6503209355195244,0.42480211081794195,-0.04991632757115285,-0.16199403521997605,2026-01-15,379
-1009.3646448065799,0.5631985473015655,0.38683398709877,0.5370370370370371,0.06272496074471232,0.04489487402780097,2026-01-16,378
-1431.3156813068845,0.5605910905925193,0.38583306981281446,0.5343915343915344,0.011878893709580517,0.06546648389974748,2026-01-19,378
-1644.5336497227913,0.6951899539337879,0.45319034277199216,0.3978779840848806,-0.05939159504681917,-0.16882939755280182,2026-01-20,377
-5015.077314458376,0.9002901693944473,0.6366507289684815,0.5755968169761273,0.08777977818652556,0.04627755875004592,2026-01-21,377
-5840.665474808577,0.9825268399541164,0.7108968127226535,0.493368700265252,-0.0587303841123769,-0.00866436082870419,2026-01-22,377
-1587.097333694369,0.5228190900990134,0.347482139312972,0.4986737400530504,-0.07243911386752694,-0.06010138878810926,2026-01-23,377
-1262.965423296514,0.5583911773761712,0.36108469222482437,0.5427807486631016,0.24729134082697862,0.23434686241057479,2026-01-26,374
-1390.429597215404,0.6159679589946485,0.39433582261116884,0.45187165775401067,-0.23893027913698187,-0.2503016730942926,2026-01-27,374
-1675.7117019113882,0.7142714342763601,0.4570255415459987,0.5133689839572193,-0.009550264405732891,0.00241739903370561,2026-01-28,374
-1176.8617157468925,0.5745630538660503,0.39844914353665356,0.5053475935828877,0.3122776122687718,0.30006841478975216,2026-01-29,374
-947.7124286653984,0.5720215935568027,0.42154025944904794,0.5026737967914439,0.15432053607989746,0.12368648478158019,2026-01-30,374
-968.7138496765469,0.5368092582691101,0.4079548447246428,0.5345744680851063,0.20907246388842382,0.28120187369490374,2026-02-02,376
-1124.088788018827,0.5044143202462463,0.38753729487318134,0.48257372654155495,-0.04270408199939669,-0.13191278099377463,2026-02-03,373
-1924.9711810518536,0.6977507739134177,0.5392364822506789,0.5415549597855228,0.09233511040077916,0.0793689626833885,2026-02-04,373
-1711.72440167829,0.5929211512167318,0.4678858082627767,0.514745308310992,-0.048355013638813456,-0.059312596281426884,2026-02-05,373
-2202.782624684105,0.6218963379225951,0.48313211660252214,0.4745308310991957,0.017289617652434527,-0.02851965123866879,2026-02-06,373
-1445.816436260553,0.6559064146139741,0.509626059946676,0.4584450402144772,-0.1667749379598054,-0.15702861931451093,2026-02-09,373
-4549.190021780029,0.9351668376457374,0.7160782753333887,0.4716981132075472,-0.019456543677359436,-0.041089963974930505,2026-02-10,371
-3370.081777928641,0.7804714301119756,0.5991335910008969,0.527027027027027,-0.013531794231309397,0.06657237738691948,2026-02-11,370
-1759.0311881107843,0.6605445249635044,0.5160435825578814,0.45135135135135135,0.01691621160035658,-0.1136326781057568,2026-02-12,370
-7183.299675949233,0.9488414900156611,0.7208447017037631,0.5351351351351351,-0.09149495780124656,-0.08402868715800146,2026-02-13,370
